22:19:27.828 INFO  [main                                ] 51 main - 
*****************************************
*    Welcome to Kuta Cluster Gateway    *
*****************************************
*       Bind Http To:0.0.0.0:8081       *
*****************************************

22:19:28.445 INFO  [KSF-akka.actor.default-dispatcher-4 ] 104 applyOrElse - Slf4jLogger started
22:24:06.404 INFO  [KSF-akka.actor.default-dispatcher-37] 95 $anonfun$applyOrElse$3 - Quarantine of [akka://KSF@192.168.2.100:2555] ignored due to non-matching UID, quarantine requested for [-1124639283118669408] but current is [-5718126950816428360]. Cluster member removed, previous status [Down]
22:24:17.003 INFO  [KSF-akka.actor.default-dispatcher-35] 95 $anonfun$applyOrElse$3 - Cluster Node [akka://KSF@192.168.2.100:2552] - Received InitJoin message from [Actor[akka://KSF@192.168.2.100:2555/system/cluster/core/daemon/joinSeedNodeProcess-2#2091444330]] to [akka://KSF@192.168.2.100:2552]
22:24:17.003 INFO  [KSF-akka.actor.default-dispatcher-35] 95 $anonfun$applyOrElse$3 - Cluster Node [akka://KSF@192.168.2.100:2552] - Sending InitJoinAck message from node [akka://KSF@192.168.2.100:2552] to [Actor[akka://KSF@192.168.2.100:2555/system/cluster/core/daemon/joinSeedNodeProcess-2#2091444330]] (version [2.6.4])
22:24:17.017 INFO  [KSF-akka.actor.default-dispatcher-36] 95 $anonfun$applyOrElse$3 - Cluster Node [akka://KSF@192.168.2.100:2552] - Node [akka://KSF@192.168.2.100:2555] is JOINING, roles [game, dc-default]
22:24:17.588 INFO  [KSF-akka.actor.default-dispatcher-33] 95 $anonfun$applyOrElse$3 - Cluster Node [akka://KSF@192.168.2.100:2552] - Leader is moving node [akka://KSF@192.168.2.100:2555] to [Up]
22:24:17.589 INFO  [KSF-akka.actor.default-dispatcher-33] 95 $anonfun$applyOrElse$3 - Member is Up: Member(address = akka://KSF@192.168.2.100:2555, status = Up)
22:25:28.420 INFO  [KSF-akka.actor.default-dispatcher-38] 95 $anonfun$applyOrElse$3 - CLIENT MSG:{"app_id":"1588","app_ver":"1.0.1","code":20002,"cmd":"SIGN_UP","sms_code":"778123123123","phone_num":"13880985300"}
22:25:44.839 INFO  [KSF-akka.actor.default-dispatcher-38] 95 $anonfun$applyOrElse$3 - CLIENT MSG:{"app_id":"1588","app_ver":"1.0.1","code":20011,"cmd":"CASHOUT","currency":"SEC","pid":50014,"amount":10,"type":1}
22:27:17.386 WARN  [KSF-akka.actor.default-dispatcher-41] 89 $anonfun$applyOrElse$2 - Cluster Node [akka://KSF@192.168.2.100:2552] - Marking node as UNREACHABLE [Member(address = akka://KSF@192.168.2.100:2555, status = Up)].
22:27:17.388 INFO  [KSF-akka.actor.default-dispatcher-41] 95 $anonfun$applyOrElse$3 - Member detected as Unreachable: Member(address = akka://KSF@192.168.2.100:2555, status = Up)
22:27:36.987 INFO  [KSF-akka.actor.default-dispatcher-39] 95 $anonfun$applyOrElse$3 - Cluster Node [akka://KSF@192.168.2.100:2552] - Leader can currently not perform its duties, reachability status: [akka://KSF@192.168.2.100:2552 -> akka://KSF@192.168.2.100:2555: Unreachable [Unreachable] (3)], member status: [akka://KSF@192.168.2.100:2552 Up seen=true, akka://KSF@192.168.2.100:2555 Up seen=false]
22:28:17.610 INFO  [KSF-akka.actor.default-dispatcher-38] 95 $anonfun$applyOrElse$3 - Cluster Node [akka://KSF@192.168.2.100:2552] - Leader can currently not perform its duties, reachability status: [akka://KSF@192.168.2.100:2552 -> akka://KSF@192.168.2.100:2555: Unreachable [Unreachable] (3)], member status: [akka://KSF@192.168.2.100:2552 Up seen=true, akka://KSF@192.168.2.100:2555 Up seen=false]
22:29:18.541 INFO  [KSF-akka.actor.default-dispatcher-41] 95 $anonfun$applyOrElse$3 - Cluster Node [akka://KSF@192.168.2.100:2552] - Leader can currently not perform its duties, reachability status: [akka://KSF@192.168.2.100:2552 -> akka://KSF@192.168.2.100:2555: Unreachable [Unreachable] (3)], member status: [akka://KSF@192.168.2.100:2552 Up seen=true, akka://KSF@192.168.2.100:2555 Up seen=false]
22:30:19.563 INFO  [KSF-akka.actor.default-dispatcher-40] 95 $anonfun$applyOrElse$3 - Cluster Node [akka://KSF@192.168.2.100:2552] - Leader can currently not perform its duties, reachability status: [akka://KSF@192.168.2.100:2552 -> akka://KSF@192.168.2.100:2555: Unreachable [Unreachable] (3)], member status: [akka://KSF@192.168.2.100:2552 Up seen=true, akka://KSF@192.168.2.100:2555 Up seen=false]
22:31:20.505 INFO  [KSF-akka.actor.default-dispatcher-38] 95 $anonfun$applyOrElse$3 - Cluster Node [akka://KSF@192.168.2.100:2552] - Leader can currently not perform its duties, reachability status: [akka://KSF@192.168.2.100:2552 -> akka://KSF@192.168.2.100:2555: Unreachable [Unreachable] (3)], member status: [akka://KSF@192.168.2.100:2552 Up seen=true, akka://KSF@192.168.2.100:2555 Up seen=false]
